pcm,套件,引擎
SceneId-8/挂断/挂断市区半开窗/F005_挂断_015.wav,114,97
SceneId-8/挂断/挂断高架中档/F005_挂断_014.wav,None,107
SceneId-8/接听/接听郊区开窗/M004_接听_003.wav,165,172
SceneId-8/接听/接听郊区开窗/M003_接听_001.wav,177,引擎未测试
SceneId-8/接听/接听郊区开窗/M004_接听_007.wav,150,144
SceneId-8/挂断/挂断高架中档/F002_挂断_008.wav,105,105
SceneId-8/挂断/挂断市区半开窗/F001_挂断_001.wav,123,77
SceneId-8/接听/接听郊区开窗/M005_接听_013.wav,163,引擎未测试
SceneId-8/挂断/挂断高架中档/F004_挂断_001.wav,102,124
SceneId-8/挂断/挂断市区半开窗/M004_挂断_009.wav,130,124
SceneId-8/接听/接听高架中档/M004_接听_015.wav,None,147
SceneId-8/挂断/挂断郊区开窗/M001_挂断_001.wav,118,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M001_挂断_014.wav,152,150
SceneId-8/接听/接听郊区开窗/M005_接听_008.wav,None,148
SceneId-8/挂断/挂断郊区开窗/F002_挂断_011.wav,128,127
SceneId-8/挂断/挂断郊区开窗/F003_挂断_014.wav,56,None
SceneId-8/X3/M103_150.wav,105,112
SceneId-8/挂断/挂断市区半开窗/F005_挂断_006.wav,193,201
SceneId-8/挂断/挂断高架中档/F003_挂断_008.wav,109,117
SceneId-8/挂断/挂断市区半开窗/F001_挂断_005.wav,88,138
SceneId-8/接听/接听高架中档/M004_接听_009.wav,136,134
SceneId-8/接听/接听郊区开窗/M002_接听_010.wav,117,100
SceneId-8/挂断/挂断市区半开窗/M002_挂断_009.wav,136,89
SceneId-8/挂断/挂断市区半开窗/M005_挂断_008.wav,122,152
SceneId-8/挂断/挂断郊区开窗/F004_挂断_005.wav,None,134
SceneId-8/X3/F004_150.wav,99,100
SceneId-8/挂断/挂断郊区开窗/F004_挂断_008.wav,140,109
SceneId-8/挂断/挂断高架中档/M003_挂断_002.wav,142,144
SceneId-8/挂断/挂断高架中档/F005_挂断_009.wav,186,172
SceneId-8/接听/接听市区半开窗/M005_接听_007.wav,None,115
SceneId-8/挂断/挂断高架中档/M002_挂断_005.wav,82,99
SceneId-8/X3/F002_150.wav,113,112
SceneId-8/X3/M104_150.wav,89,96
SceneId-8/挂断/挂断市区半开窗/F005_挂断_004.wav,92,100
SceneId-8/挂断/挂断高架中档/M001_挂断_010.wav,159,171
SceneId-8/挂断/挂断郊区开窗/F002_挂断_006.wav,143,122
SceneId-8/挂断/挂断市区半开窗/M004_挂断_002.wav,105,106
SceneId-8/接听/接听郊区开窗/M003_接听_008.wav,141,162
SceneId-8/挂断/挂断市区半开窗/M005_挂断_007.wav,154,136
SceneId-8/接听/接听高架中档/F001_接听_007.wav,None,176
