,strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms),,,,<1.2s,1.2s-2s,2s-3s,>3s
radio,/data/AIUI/sr/600/0136-04.pcm,1.49932E+12,3010,1.49932E+12,1668,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0252-02.pcm,1.49932E+12,2560,1.49932E+12,1896,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0252-03.pcm,1.49932E+12,2110,1.49932E+12,1663,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0252-05.pcm,1.49932E+12,1720,1.49932E+12,1455,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0275-01.pcm,1.49932E+12,1460,1.49932E+12,1540,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0275-03.pcm,1.49932E+12,1460,1.49932E+12,1500,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0275-04.pcm,1.49932E+12,1860,1.49932E+12,1492,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0309-01.pcm,1.49932E+12,2190,1.49932E+12,1877,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0309-03.pcm,1.49932E+12,1480,1.49932E+12,1613,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0310-01.pcm,1.49932E+12,1200,1.49932E+12,1546,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0310-02.pcm,1.49932E+12,1980,1.49932E+12,1864,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0310-03.pcm,1.49932E+12,900,1.49932E+12,1601,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0311-01.pcm,1.49932E+12,1200,1.49932E+12,1535,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0311-02.pcm,1.49932E+12,1660,1.49932E+12,1668,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0312-01.pcm,1.49932E+12,1220,1.49932E+12,1901,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0312-02.pcm,1.49932E+12,1520,1.49932E+12,1475,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0312-03.pcm,1.49932E+12,1240,1.49932E+12,1581,,,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0313-01.pcm,1.49932E+12,1540,1.49932E+12,1745,,,,FALSE,TRUE,FALSE,FALSE
scheduleX,/data/AIUI/sr/600/0343-01.pcm,1.49932E+12,1160,1.49932E+12,1911,,1892,,FALSE,TRUE,FALSE,FALSE
scheduleX,/data/AIUI/sr/600/0343-02.pcm,1.49932E+12,1820,1.49932E+12,2234,,,,FALSE,FALSE,TRUE,FALSE
scheduleX,/data/AIUI/sr/600/0343-04.pcm,1.49932E+12,860,1.49932E+12,1677,,,,FALSE,TRUE,FALSE,FALSE
scheduleX,/data/AIUI/sr/600/0344-01.pcm,1.49932E+12,980,1.49932E+12,1708,,,,FALSE,TRUE,FALSE,FALSE
scheduleX,/data/AIUI/sr/600/0344-02.pcm,1.49932E+12,1780,1.49932E+12,1955,,,,FALSE,TRUE,FALSE,FALSE
scheduleX,/data/AIUI/sr/600/0344-03.pcm,1.49932E+12,2980,1.49932E+12,2141,,,,FALSE,FALSE,TRUE,FALSE
scheduleX,/data/AIUI/sr/600/0344-04.pcm,1.49932E+12,980,1.49932E+12,1620,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0352-01.pcm,1.49932E+12,3060,1.49932E+12,,,1874,,FALSE,FALSE,FALSE,FALSE
stock,/data/AIUI/sr/600/0352-02.pcm,1.49932E+12,2020,1.49932E+12,1692,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0353-01.pcm,1.49932E+12,2320,1.49932E+12,2003,,,,FALSE,FALSE,TRUE,FALSE
stock,/data/AIUI/sr/600/0354-01.pcm,1.49932E+12,2100,1.49932E+12,1929,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0354-02.pcm,1.49932E+12,2220,1.49932E+12,1893,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0354-03.pcm,1.49932E+12,2050,1.49932E+12,1830,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0355-01.pcm,1.49932E+12,1220,1.49932E+12,1682,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0355-02.pcm,1.49932E+12,1880,1.49932E+12,1922,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0356-01.pcm,1.49932E+12,2280,1.49932E+12,2055,,,,FALSE,FALSE,TRUE,FALSE
