sr_time:931, nlu_time:84, sum_time:1020
sr_time:196, nlu_time:99, sum_time:301
sr_time:238, nlu_time:170, sum_time:415
sr_time:190, nlu_time:188, sum_time:384
sr_time:217, nlu_time:107, sum_time:330
sr_time:256, nlu_time:154, sum_time:416
sr_time:193, nlu_time:154, sum_time:354
sr_time:284, nlu_time:98, sum_time:387
sr_time:205, nlu_time:94, sum_time:305
sr_time:449, nlu_time:102, sum_time:560
sr_time:146, nlu_time:160, sum_time:311
sr_time:270, nlu_time:135, sum_time:412
sr_time:227, nlu_time:187, sum_time:424
sr_time:202, nlu_time:134, sum_time:342
sr_time:246, nlu_time:203, sum_time:456
sr_time:208, nlu_time:104, sum_time:317
sr_time:161, nlu_time:146, sum_time:313
sr_time:430, nlu_time:138, sum_time:575
sr_time:183, nlu_time:120, sum_time:308
sr_time:234, nlu_time:105, sum_time:345
sr_time:298, nlu_time:159, sum_time:463
sr_time:169, nlu_time:151, sum_time:327
sr_time:229, nlu_time:199, sum_time:434
sr_time:565, nlu_time:229, sum_time:800
sr_time:241, nlu_time:140, sum_time:387
sr_time:207, nlu_time:174, sum_time:386
sr_time:434, nlu_time:241, sum_time:682
sr_time:272, nlu_time:232, sum_time:511
sr_time:291, nlu_time:184, sum_time:482
sr_time:363, nlu_time:344, sum_time:713
sr_time:460, nlu_time:96, sum_time:563
sr_time:206, nlu_time:141, sum_time:353
sr_time:235, nlu_time:241, sum_time:482
sr_time:513, nlu_time:149, sum_time:668
sr_time:407, nlu_time:328, sum_time:741
sr_time:269, nlu_time:207, sum_time:483
sr_time:338, nlu_time:318, sum_time:663
sr_time:355, nlu_time:258, sum_time:619
sr_time:556, nlu_time:213, sum_time:775
sr_time:442, nlu_time:112, sum_time:560
sr_time:255, nlu_time:171, sum_time:432
sr_time:276, nlu_time:240, sum_time:522
sr_time:659, nlu_time:142, sum_time:808
sr_time:437, nlu_time:59, sum_time:503
sr_time:337, nlu_time:65, sum_time:409
sr_time:254, nlu_time:115, sum_time:375
sr_time:209, nlu_time:109, sum_time:324
