native_heap_alloc,native_pss,dalvik_heap_alloc,dalvik_pss
7018,32,4159,7730
7019,32,4293,7730
7019,32,4426,7730
7015,32,3517,7730
7016,32,3675,7730
7017,32,3811,7730
7018,32,3940,7730
7018,32,4073,7730
7019,32,4207,7730
7020,32,4341,7730
7021,32,4499,7730
7017,32,3608,7730
7018,32,3741,7730
7018,32,3871,7730
7019,32,4004,7730
7020,32,4136,7730
7021,32,4271,7730
7022,32,4425,7730
7019,32,3518,7730
7018,32,3648,7730
7019,32,3782,7730
7020,32,3914,7730
7020,32,4047,7730
7022,32,4204,7730
7022,32,4341,7730
7023,32,4472,7730
7019,32,3578,7730
7020,32,3713,7730
7021,32,3849,7730
7022,32,4006,7730
7022,32,4138,7730
7023,32,4270,7730
7024,32,4401,7730
7025,32,4534,7730
7021,32,3635,7730
7021,32,3767,7730
7022,32,3926,7730
7023,32,4058,7730
7024,32,4189,7730
7025,32,4320,7734
7026,32,4456,7734
7021,32,3554,7734
7023,32,3711,7734
7023,32,3844,7734
7024,32,3973,7734
7025,32,4105,7734
7026,32,4239,7734
7026,32,4373,7734
7027,32,4530,7734
7023,32,3630,7734
7024,32,3761,7734
7025,32,3893,7734
7025,32,4025,7734
7026,32,4159,7734
7027,32,4293,7734
7028,32,4447,7734
7024,32,3547,7734
7025,32,3676,7734
7025,32,3810,7734
7026,32,3943,7734
7027,32,4075,7734
7028,32,4232,7734
7029,32,4363,7734
7030,32,4497,7734
7025,32,3588,7734
7026,32,3723,7734
7027,32,3856,7734
7028,32,4014,7734
7029,32,4147,7734
7029,32,4279,7734
7030,32,4410,7734
7031,32,4541,7734
7027,32,3654,7738
7028,32,3786,7738
7029,32,3942,7738
7030,32,4077,7738
7031,32,4206,7738
7031,32,4339,7738
7032,32,4473,7738
7028,32,3572,7738
7029,32,3729,7738
7030,32,3864,7738
7031,32,3998,7738
7031,32,4127,7738
7032,32,4262,7738
7033,32,4396,7738
7034,32,3517,7814
7030,32,3651,7738
7030,32,3783,7738
7031,32,3915,7738
7032,32,4046,7738
7033,32,4182,7738
7034,32,4313,7738
7035,32,4469,7738
7030,32,3569,7738
7031,32,3698,7738
7032,32,3831,7738
7033,32,3965,7738
7034,32,4096,7738
7035,32,4256,7738
7035,32,4385,7738
7036,32,4521,7738
7032,32,3614,7738
7033,32,3751,7738
7034,32,3881,7738
7034,32,4018,7738
7036,32,4171,7738
7036,32,4307,7738
7037,32,4437,7738
7033,32,3527,7738
7033,32,3659,7738
7034,32,3794,7738
7035,32,3950,7738
7036,32,4084,7738
7037,32,4216,7738
7038,32,4346,7738
7038,32,4480,7738
7034,32,3590,7738
7035,32,3751,7738
7036,32,3880,7738
7037,32,4016,7738
7038,32,4143,7738
7038,32,4280,7738
7039,32,4411,7738
7040,32,4548,7738
7036,32,3667,7738
7037,32,3803,7738
7038,32,3933,7738
7038,32,4067,7738
7039,32,4201,7738
7040,32,4332,7738
7041,32,4493,7738
7037,32,3591,7738
7037,32,3720,7738
7038,32,3852,7738
7039,32,3986,7738
7040,32,4122,7738
